Domain,Core Conditionsÿ
Paediatrics,Human papilloma virus 
Paediatrics,Kawasaki diseaseÿ
Paediatrics,Malariaÿ
Paediatrics,Toxic shock syndrome
Paediatrics,Otitis mediaÿ
Paediatrics,Conjunctivitisÿ
Paediatrics,Orbital and periorbital cellulitisÿ
Paediatrics,Self-harm
Paediatrics,Eating disorders 
Paediatrics,Attention deficit hyperactivity disorder (ADHD)ÿ
Paediatrics,Autistic spectrum disorder
Paediatrics,Non-accidental injuryÿ
,Disease Prevention Screening
