Domain,Core Conditionsÿ
Infection,Upper respiratory tract infectionsÿ
Infection,Lower respiratory tract infectionsÿ
Infection,Bacterial and viral GI infectionsÿ
Infection,Chlamydiaÿ
Infection,Gonorrhoeaÿ
Infection,Syphilisÿ
Infection,"Human papilloma virus,ÿ"
Infection,Herpes simplex virusÿ
Infection,Trichomonas vaginalisÿ
Infection,Bacterial vaginosisÿ
Infection,Candidiasisÿ
Infection,Pyrexia of unknown originÿ
Infection,Traveller?s diarrhoeaÿ
Infection,Malariaÿ
Infection,Lyme disease
Oncology,Squamous cell carcinoma
Oncology,Basal cell carcinoma
Oncology,Malignant melanoma
Oncology,Gastrointestinal Malignanciesÿ
Oncology,Colorectal tumours?
Oncology,Gastric cancer?
Oncology,Hepatocellular cancer
Oncology,Pancreatic cancer?ÿ
Oncology,Oesophageal cancerÿ
Oncology,Lymphoma?
Oncology,Leukaemia?
Oncology,Multiple myeloma
Oncology,Prostate cancer
Oncology,Testicular cancer?
Oncology,Bladder cancer?
Oncology,Cervical cancer?
Oncology,Ovarian cancer?
Oncology,Endometrial cancer?
Oncology,Breast cancer
Oncology,Primary lung cancer
Oncology,Thyroid cancer?
Oncology,Spinal cord compression 
Oncology,Hypercalcaemia 
Oncology,Neutropaenic sepsis?
Oncology,Brain metastases?
Oncology,Metastatic Disease 
Renal,Hyponatraemiaÿ
Renal,Hypernatraemiaÿ
Renal,Hypokalaemiaÿ
Renal,Hyperkalaemiaÿ
Renal,Isotonic fluid lossÿ
Renal,Other electrolyte imbalances
Renal,Urinary tract infectionÿ
Renal,Acute pyelonephritisÿ
Renal,Urethral syndromeÿ
Renal,Chronic kidney diseaseÿ
Renal,Diabetic nephropathyÿ
Renal,Hypertensive kidney disease 
Renal,Nephrotic syndrome?
Renal,Glomerulonephritis?
Renal,Polycystic kidney disease
Respiratory,Asthmaÿ
Respiratory,Anaphylaxisÿ
Respiratory,COPDÿ
Respiratory,Asthmaÿ/COPD Overalp 
Respiratory,Allergic disordersÿ
Respiratory,Respiratory failureÿ
Respiratory,Pulmonary embolism and deep vein thrombosisÿ
Respiratory,Primary lung cancersÿ
Respiratory,Metastatic disease
Respiratory,Lower respiratory tract infectionÿ
Respiratory,Pneumoniaÿ
Respiratory,Upper respiratory tract infections
Respiratory,Pulmonary tuberculosisÿ
Respiratory,Bronchiectasis?
Respiratory,Cystic Fibrosisÿ
Respiratory,Pneumothoraxÿ
Respiratory,Pleural effusion
Respiratory,Sarcoidosis?
Respiratory,Idiopathic pulmonary fibrosis
Respiratory,Connective tissue and autoimmune diseases
Rheumatologyÿ,Septic arthritis
Rheumatologyÿ,Osteomyelitis?
Rheumatologyÿ,Osteoporosis?
Rheumatologyÿ,Rickets/Osteomalacia?
Rheumatologyÿ,Rheumatoid arthritisÿ
Rheumatologyÿ,Psoriatic arthritisÿ
Rheumatologyÿ,Idiopathic/Seronegative arthritis
Rheumatologyÿ,Ankylosing spondylitis?
Rheumatologyÿ,Inflammatory bowel disease arthropathy
Rheumatologyÿ,Reactive arthritisÿ
Rheumatologyÿ,Rotator cuff pathology
Rheumatologyÿ,Impingement syndrome/subacromial bursitis?
Rheumatologyÿ,Medial and lateral epicondylitis
Rheumatologyÿ,Carpal Tunnel syndrome
Rheumatologyÿ,DeQuervain?s tenosynovitis?ÿ
Rheumatologyÿ,Greater trochanter bursitis?
Rheumatologyÿ,Spinal fracture
Rheumatologyÿ,Systemic sclerosis (Scleroderma)
Rheumatologyÿ,Sjogren's syndrome?ÿ
Rheumatologyÿ,Vasculitis
Rheumatologyÿ,Inherited connective tissue diseases?
Rheumatologyÿ,Polymyalgia rheumatica (PMR) 
Rheumatologyÿ,Giant cell arteritis (GCA) ÿ
Rheumatologyÿ,Systemic lupus erythematosus (SLE) 
Rheumatologyÿ,Osteoarthritis 
Rheumatologyÿ,Crystal arthritis 
Rheumatologyÿ,Fibromyalgia 
Rheumatologyÿ,Chronic pain
Rheumatologyÿ,Bursitis 
Rheumatologyÿ,Anaphylaxis 
Rheumatologyÿ,Allergic disorders 
Care of the Elderly,Fluid and electrolyte imbalance?
Care of the Elderly,Breakdown in social circumstances?
Care of the Elderly,Blackouts and faints?
Care of the Elderly,Dizziness?ÿ
Care of the Elderly,Vertigo?
Care of the Elderly,Multifactorial falls management?
Care of the Elderly,Falls?ÿ
Care of the Elderly,Immobility
Care of the Elderly,Mental capacity concerns?
Care of the Elderly,Dementia?
Care of the Elderly,Delirium (Acute Confusional State)?
Care of the Elderly,Chronic cognitive impairment
Care of the Elderly,Urinary incontinence?
Care of the Elderly,Faecal incontinence
Care of the Elderly,Elder abuse
Care of the Elderly,Stroke
Care of the Elderly,Parkinson's disease
Care of the Elderly,Assessment of Needs and Discharge Planning 
Care of the Elderly,Frailty and Comprehensive Geriatric Assessment?
Care of the Elderly,Frailty
Care of the Elderly,Pressure sores and skin ulcers?
Care of the Elderly,Malnutrition
Care of the Elderly,"Sensory Impairment ? hearing loss, visual loss?"
Care of the Elderly,Osteoporosis?ÿ
Neurology,ÿIschaemic stroke
Neurology,Intraparenchymal haemorrhage?
Neurology,Transient ischaemic attack?
Neurology,Subarachnoid haemorrhage
Neurology,Subdural haemorrhage 
Neurology,Extradural haemorrhage?
Neurology,Head injury and coma?
Neurology,Cerebral palsy and hypoxic ischaemic encephalopathy?
Neurology,Meningitis?
Neurology,Encephalitis
Neurology,Brain abscess?
Neurology,Multiple sclerosis?
Neurology,Acoustic neuroma?
Neurology,Brain metastases
Neurology,Raised intracranial pressure 
Neurology,Spinal cord compression?
Neurology,Radiculopathies (single nerve root lesion)
Neurology,Cauda equina syndrome 
Neurology,Muscle disorders - Inherited muscular dystrophies
Neurology,Muscle disorders - Acquired muscle disorders (e.g. polymyositis or drug-induced myopathies)
Neurology,?Myasthenia gravis?
Neurology,Peripheral nerve injuries/palsies - Carpal Tunnel syndrome
Neurology,Peripheral nerve injuries/palsies - Bell's Palsy
Neurology,Peripheral nerve injuries/palsies - Other mononeuropathies/cranial neuropathies?
Neurology,Polyneuropathies - Diabetic neuropathy?
Neurology,Polyneuropathies - Guillain-Barre syndrome
Neurology,Motor neurone disease?
Neurology,?Neuromuscular respiratory failure?
Neurology,Migraine 
Neurology,Tension headache?
Neurology,?Trigeminal neuralgia
Neurology,Idiopathic intracranial hypertension
Neurology,Chronic pain?
Neurology,Syncope
Neurology,Epilepsy?
Neurology,Epilepsy -?Status epilepticus?
Neurology,?Febrile convulsions
Neurology,Parkinson's disease?ÿ
Neurology,Essential tremor?
Neurology,Cerebellar disorders
Neurology,Chronic fatigue syndrome
Neurology, Dementiaÿ
Neurology, Wernicke?s encephalopathyÿ
Neurology,Vestibular migrain
Neurology,Posterior circulation strokeÿ
Neurology, Vestibular neuronitisÿ
Neurology,Benign paroxysmal positional vertigoÿ
Neurology,Myasthenia gravis 
Neurology, Motor neurone disease 
Neurology, Neuromuscular respiratory failure 
Palliative Care,Chronic painÿ
Palliative Care,Breathlessnessÿ
Palliative Care,Respiratory secretionsÿ
Palliative Care,Coughÿ
Palliative Care,Intestinal obstruction and ileus 
Palliative Care,Nausea and vomiting
Palliative Care,Depressionÿ
Palliative Care,Suicidal ideation and Suicide
Palliative Care,End of life careÿ
Palliative Care,Terminal agitationÿ
Anaesthesia and Critical Care,Atrial fibrillation 
Anaesthesia and Critical Care,Atrial arrhythmias 
Anaesthesia and Critical Care,Complete heart block 
Anaesthesia and Critical Care,Ventricular tachycardia 
Anaesthesia and Critical Care,Cardiac arrest
Anaesthesia and Critical Care,Respiratory arrest
Anaesthesia and Critical Care,Cardiac arrest
Anaesthesia and Critical Care,Heart failure 
Anaesthesia and Critical Care,Respiratory arrest 
Anaesthesia and Critical Care,Evaluation of deteriorating patient 
Anaesthesia and Critical Care,Multi-organ dysfunction syndrome
Anaesthesia and Critical Care,Hypovolaemic 
Anaesthesia and Critical Care,Cardiogenic 
Anaesthesia and Critical Care,Distributive 
Anaesthesia and Critical Care,Obstructive
Anaesthesia and Critical Care,Acute pain management 
Anaesthesia and Critical Care,Post-operative pain
Anaesthesia and Critical Care,Asthma 
Anaesthesia and Critical Care,Chronic obstructive pulmonary disease 
Anaesthesia and Critical Care,Type 1 diabetes 
Anaesthesia and Critical Care,Type 2 diabetes 
Anaesthesia and Critical Care,Chronic kidney disease 
Anaesthesia and Critical Care,Anaemia 
Anaesthesia and Critical Care,Ischaemic heart disease
Anaesthesia and Critical Care,Substance misuse disorder 
Anaesthesia and Critical Care,Valvular heart disease 
Anaesthesia and Critical Care,Essential and Secondary Hypertension 
Anaesthesia and Critical Care,Respiratory Failure 
Anaesthesia and Critical Care,Obesity
Anaesthesia and Critical Care,Obstructive Sleep Apnoea 
Anaesthesia and Critical Care,Type 1 diabetes 
Anaesthesia and Critical Care,Type 2 diabetes 
Anaesthesia and Critical Care,Fluid and electrolyte balance 
Anaesthesia and Critical Care,Anaemia
Anaesthesia and Critical Care,Sepsis 
Anaesthesia and Critical Care,Pulmonary embolism and deep vein thrombosis 
Anaesthesia and Critical Care,Fluid and electrolyte balance 
Psychiatry,Self-harm 
Psychiatry,Suicidal ideation and suicide 
Psychiatry,Substance misuse disorderÿ
Psychiatry,Alcoholÿ
Psychiatry,Smokingÿ
Psychiatry,Drugsÿ
Psychiatry,Delirium (acute confusional state)ÿ
Psychiatry,Dementiaÿ
Psychiatry,Wernicke?s encephalopathyÿ
Psychiatry,Bipolar effective disorderÿ
Psychiatry,Depressionÿ
Psychiatry,Perinatal mental healthÿ
Psychiatry,Acute stress reactionÿ
Psychiatry,Generalised anxietyÿ
Psychiatry,Panic disorderÿ
Psychiatry,OCDÿ
Psychiatry,Phobiasÿ
Psychiatry,Post Traumatic Stress Disorderÿ
Psychiatry,Somatoformÿ
Psychiatry,Chronic Pain
Psychiatry,Schizophrenia and Psychosisÿ
Pre-operative Care,Asthma 
Pre-operative Care,Chronic obstructive pulmonary disease 
Pre-operative Care,Obesity 
Pre-operative Care,Obstructive sleep apnoea 
Pre-operative Care,Essential or secondary hypertension 
Pre-operative Care,Arrhythmias
Pre-operative Care,Valvular heart disease
Pre-operative Care,Anaemia 
Pre-operative Care,Chronic kidney disease 
Pre-operative Care,Diabetes mellitus 
Pre-operative Care,Type 1 diabetes 
Pre-operative Care,Type 2 diabetes 
Pre-operative Care,Medication considerations- Patient on antiplatelet therapy 
Pre-operative Care,Medication considerations - Patient on anticoagulant 
Pre-operative Care,Medication considerations - Patient on oral contraceptive pill 
