"FieldType0","FieldLabel0","FieldOptions0","FieldOptionsScores0","FieldType1","FieldLabel1","FieldOptions1","FieldOptionsScores1","FieldType2","FieldLabel2","FieldOptions2","FieldOptionsScores2","FieldType3","FieldLabel3","FieldOptions3","FieldOptionsScores3","FieldType4","FieldLabel4","FieldOptions4","FieldOptionsScores4","FieldType5","FieldLabel5","FieldOptions5","FieldOptionsScores5","FieldType6","FieldLabel6","FieldOptions6","FieldOptionsScores6","FieldType7","FieldLabel7","FieldOptions7","FieldOptionsScores7","FieldType8","FieldLabel8","FieldOptions8","FieldOptionsScores8","FieldType9","FieldLabel9","FieldOptions9","FieldOptionsScores9","FieldType10","FieldLabel10","FieldOptions10","FieldOptionsScores10","FieldType11","FieldLabel11","FieldOptions11","FieldOptionsScores11","FieldType12","FieldLabel12","FieldOptions12","FieldOptionsScores12","FieldType13","FieldLabel13","FieldOptions13","FieldOptionsScores13","FieldType14","FieldLabel14","FieldOptions14","FieldOptionsScores14","FieldType15","FieldLabel15","FieldOptions15","FieldOptionsScores15","FieldType16","FieldLabel16","FieldOptions16","FieldOptionsScores16","FieldType17","FieldLabel17","FieldOptions17","FieldOptionsScores17","FieldType18","FieldLabel18","FieldOptions18","FieldOptionsScores18","FieldType19","FieldLabel19","FieldOptions19","FieldOptionsScores19","NumberFields","formInfo","formRef","formula","resultUnits","tagLine","title","sections"
"button","Wheezing episodes per year","<3,≥3","0,1","button","Parent with asthma","Yes,No","1,0","button","Patient with eczema","Yes,No","1,0","button","Patient with allergic rhinitis","Yes,No","1,0","button","Wheezing apart from colds","Yes,No","1,0","button","Eosinophilia (≥4% on FBC)","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","6","ASTHMAPREDICTIVEINDEXinfo","Castro-Rodr‚àö‚â†guez JA, Holberg CJ, Wright AL, Martinez FD$$A clinical index to define risk of asthma in young children with recurrent wheezing. American journal of respiratory and critical care medicine. 2000 Oct 1;162(4):1403-6$$https://www.atsjournals.org/doi/abs/10.1164/ajrccm.162.4.9912111££Leonardi NA, Spycher BD, Strippoli MP, Frey U, Silverman M, Kuehni CE$$Validation of the Asthma Predictive Index and comparison with simpler clinical prediction rules. Journal of Allergy and Clinical Immunology. 2011 Jun 1;127(6):1466-72$$https://www.sciencedirect.com/science/article/pii/S009167491100368X","ASTHMAAPI","points","Determines likelihood of paediatric patients (≤3 years age) developing childhood asthma","ASTHMA PREDICTIVE INDEX","All,GP,Paeds,Resp"
"button","Age","<60,60-79,≥80","0,1,2","button","≥ 1 day treatment with systemic antibiotics during C. diff infection","Yes,No","2,0","button","WBC 10⁹/L","<16,16-25,>25","0,1,2","button","Serum albumin g/L",">35,26-35,<26","0,1,2","button","Serum creatinine ≈í¬∫mol/L","≤120,121-179,≥180","0,1,2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","5","ATLASSCORECDIFFinfo","Miller MA, Louie T, Mullane K, Weiss K, Lentnek A, Golan Y, Kean Y, Sears P.$$Derivation and validation of a simple clinical bedside score (ATLAS) for Clostridium difficile infection which predicts response to therapy. BMC infectious diseases. 2013 Dec;13:1-7.$$https://link.springer.com/article/10.1186/1471-2334-13-148","nil","points","Predicts response to therapy in patients with C. diff","ATLAS SCORE C.DIFF","All,Gastro"
"button","How often did you have a drink containing alcohol in the past year?","Never,Monthly or less,2 to 4 times a month,2 to 3 times a week, 4 or more times a week","0,1,2,3,4","button","How many drinks containing alcohol did you have on a typical day when you were drinking in the past year?","1 or 2,3 or 4,5 or 6,7 to 9,10 or more","0,1,2,3,4","button","How often did you have six or more drinks on one occasion in the past year?","Never, Less than monthly,Monthly,Weekly,Daily or almost daily","0,1,2,3,4","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","3","AUDIT-Cinfo","Bush K, Kivlahan DR, McDonell MB, Fihn SD, Bradley KA,$$Ambulatory Care Quality Improvement Project (ACQUIP. The AUDIT alcohol consumption questions (AUDIT-C): an effective brief screening test for problem drinking. Archives of internal medicine. 1998 Sep 14;158(16):1789-95.$$https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/208954££Babor TF, Higgins-Biddle JC, Saunders JB, Monteiro MG.$$The alcohol use disorders identification test. Geneva: World Health Organization; 2001.$$https://www.mirecc.va.gov/cih-visn2/Documents/Provider_Education_Handouts/AUDIT_Test_Manual.pdf","nil","points","Identifies at risk drinkers who may not be alcohol dependent","AUDIT-C","All,Emergency,Gastro,GP,Psych"
"button","Age","<80 years,≥80 years","0,1","button","Able to correctly spell ""WORLD' backwards","Yes,No","0,1","button","Orientated to: Country  / County / City / Hospital / Ward","Yes,No","0,1","button","Illness severity level","Not ill, Mildly ill,Moderately ill,Severely ill,Moribund","0,0,1,1,1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4","AWOLSCOREinfo","Douglas VC, Hessler CS, Dhaliwal G, Betjemann JP, Fukuda KA, Alameddine LR, Lucatorto R, Johnston SC, Josephson SA$$The AWOL tool: derivation and validation of a delirium prediction rule. Journal of hospital medicine. 2013 Sep;8(9):493-9$$https://shmpublications.onlinelibrary.wiley.com/doi/abs/10.1002/jhm.2062££Brown EG, Josephson SA, Anderson N, Reid M, Lee M, Douglas VC$$Predicting inpatient delirium: the AWOL delirium risk-stratification score in clinical practice. Geriatric Nursing. 2017 Nov 1;38(6):567-72$$https://www.sciencedirect.com/science/article/pii/S0197457217301106","nil","points","Predicts risk of delirium during hospital admission","AWOL DELIRIUM SCORE","All,Old,Psych"
"button","Vocalisation: whimpering, crying","Absent,Mild,Moderate,Severe","0,1,2,3","button","Facial expression:
tense, frowning, grimacing, frightened","Absent,Mild,Moderate,Severe","0,1,2,3","button","Body language:
fidgeting, rocking, guarding, withdrawn","Absent,Mild,Moderate,Severe","0,1,2,3","button","Physiological changes:
temperature, pulse or BP elevations, sweating, flushing/pallor","Absent,Mild,Moderate,Severe","0,1,2,3","button","Physical changes:
skin tears, pressure sores, arthritis, contractures, previous injuries","Absent,Mild,Moderate,Severe","0,1,2,3","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","5","AbbeyPainScaleinfo","Abbey J, Piller N, Bellis AD, Esterman A, Parker D, Giles L, Lowcay B.$$The Abbey pain scale: a 1-minute numerical indicator for people with end-stage dementia. International journal of palliative nursing. 2004 Jan;10(1):6-13.$$https://www.magonlinelibrary.com/doi/abs/10.12968/ijpn.2004.10.1.12013££Liu JY, Briggs M, Closs SJ.$$The psychometric qualities of four observational pain tools (OPTs) for the assessment of pain in elderly people with osteoarthritic pain. Journal of pain and symptom management. 2010 Oct 1;40(4):582-98.$$https://www.sciencedirect.com/science/article/pii/S0885392410004665","nil","points","Assesses pain in patients with advanced dementia","ABBEY PAIN SCALE","All,Old,Psych"
"button","Right lower quadrant tenderness","Yes,No","2,0","button","Elevated temperature (37.3°C or 99.1°F)","Yes,No","1,0","button","Rebound tenderness","Yes,No","1,0","button","Migration of pain to the right lower quadrant","Yes,No","1,0","button","Anorexia","Yes,No","1,0","button","Nausea or vomiting","Yes,No","1,0","button","WCC >10 x 10⁹/L","Yes,No","2,0","button","Leukocyte left shift
>75% neutrophils","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","8","AlvaradoScoreinfo","Alvarado A.$$A practical score for the early diagnosis of acute appendicitis. Annals of emergency medicine. 1986 May 1;15(5):557-64.$$https://www.sciencedirect.com/science/article/pii/S0196064486809933££McKay R, Shepherd J.$$The use of the clinical scoring system by Alvarado in the decision to perform computed tomography for acute appendicitis in the ED. The American journal of emergency medicine. 2007 Jun 1;25(5):489-93.$$https://www.sciencedirect.com/science/article/pii/S0735675706004153££Pogorelic Z, Rak S, Mrklic I, Juric I.$$Prospective validation of Alvarado score and Pediatric Appendicitis Score for the diagnosis of acute appendicitis in children. Pediatric emergency care. 2015 Mar 1;31(3):164-8.$$https://journals.lww.com/pec-online/FullText/2015/03000/Prospective_Validation_of_Alvarado_Score_and.2.aspx££Coleman JJ, Carr BW, Rogers T, Field MS, Zarzaur BL, Savage SA, Hammer PM, Brewer BL, Feliciano DV, Rozycki GS.$$The Alvarado score should be used to reduce emergency department length of stay and radiation exposure in select patients with abdominal pain. Journal of Trauma and Acute Care Surgery. 2018 Jun 1;84(6):946-50.$$https://journals.lww.com/jtrauma/FullText/2018/06000/The_Alvarado_score_should_be_used_to_reduce.15.aspx","nil","points","Predicts likelihood of acute appendicitis","ALVARADO SCORE","All,Emergency,GenSurg"
"button","Age","41-64,≥65","1,0","button","BUN ≥8.9 mmol/L","Yes,No","1,0","button","Altered mental status (GCS <14)","Yes,No","1,0","button","Pulse ≥109 beats/min","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4","BAP-65SCOREinfo","Tabak YP, Sun X, Johannes RS, Gupta V, Shorr AF.$$Mortality and need for mechanical ventilation in acute exacerbations of chronic obstructive pulmonary disease: development and validation of a simple risk score. Archives of internal medicine. 2009 Sep 28;169(17):1595-602.$$https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/224759££Shorr AF, Sun X, Johannes RS, Yaitanes A, Tabak YP.$$Validation of a novel risk score for severity of illness in acute exacerbations of COPD. Chest. 2011 Nov 1;140(5):1177-83.$$https://www.sciencedirect.com/science/article/pii/S0012369211605837","BAP","points","Predicts mortality in acute COPD exacerbation","BAP-65 SCORE","All,Emergency,GP,Resp"
"image","Beighton","None","0","button","A: 5th MCP > 90°","No,One side, Both sides","0,1,2","button","B: Thumb touch forearm","No,One side, Both sides","0,1,2","button","C: Elbow >10° hyperextension","No,One side, Both sides","0,1,2","button","D: Knee >10° hyperextension","No,One side, Both sides","0,1,2","button","E: Spine - hands touch floor with knees straight","No,Yes","0,1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","6","BEIGHTONinfo","Malek S, Reinhold EJ, Pearce GS.$$The Beighton Score as a measure of generalised joint hypermobility. Rheumatology International. 2021 Oct;41(10):1707-16.$$https://link.springer.com/article/10.1007/s00296-021-04832-4££Bockhorn LN, Vera AM, Dong D, Delgado DA, Varner KE, Harris JD.$$Interrater and intrarater reliability of the beighton score: a systematic review. Orthopaedic Journal of Sports Medicine. 2021 Jan 20;9(1):2325967120968099.$$https://journals.sagepub.com/doi/abs/10.1177/2325967120968099","nil","points","Measures joint hypermobility on a 9-point scale","BEIGHTON SCORE","All,GP,MSK"
"command","Based on first 24 hours of patient presentation","%","0","button","BUN >8.92 mmol/L (25 mg/dL)","Yes,No","1,0","button","Impaired mental status","Yes,No","1,0","button","≥2 SIRS Criteria: Temp>38°C / HR>90 / RR>20 or PaCO₂ <32 mmHg / WBC > 12 or <4 x 10⁹/L","Yes,No","1,0","button","Age >60 years","Yes,No","1,0","button","Pleural effusion present","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","6","BISAPSCOREinfo","Wu BU, Johannes RS, Sun X, Tabak Y, Conwell DL, Banks PA$$The early prediction of mortality in acute pancreatitis: a large population-based study. Gut. 2008 Dec 1;57(12):1698-703$$https://gut.bmj.com/content/57/12/1698.short££Papachristou GI, Muddana V, Yadav D, O'connell M, Sanders MK, Slivka A, Whitcomb DC$$Comparison of BISAP, Ranson's, APACHE-II, and CTSI scores in predicting organ failure, complications, and mortality in acute pancreatitis. Official journal of the American College of Gastroenterology| ACG. 2010 Feb 1;105(2):435-41$$https://journals.lww.com/ajg/fulltext/2010/02000/Comparison_of_BISAP,_Ranson_s,_APACHE_II,_and_CTSI.28.aspx££Gompertz M, Fernandez L, Lara I, Miranda JP, Mancilla C, Berger Z$$Bedside index for severity in acute pancreatitis (BISAP) score as predictor of clinical outcome in acute pancreatitis: retrospective review of 128 patients. Revista medica de Chile. 2012 Aug 1;140(8):977-83$$https://europepmc.org/article/med/23282769","nil","points","Predicts mortality risk in pancreatitis: similar to Ranson's criteria with less variables","BISAP SCORE","All,Gastro,GenSurg"
"button","Cervical dilation","Closed,1-2cm,3-4cm,≥5cm","0,1,2,3","button","Effacement","0-30%,40-50%,60-70%,≥80%","0,1,2,3","button","Station","-3,-2,-1 to 0,1 to 2","0,1,2,3","button","Position","Posterior,Mid-position,Anterior","0,1,2","button","Consistency","Firm,Moderately firm,Soft","0,1,2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","5","BISHOPSCOREinfo","Laughon SK, Zhang J, Troendle J, Sun L, Reddy UM$$Using a simplified Bishop score to predict vaginal delivery. Obstetrics & Gynecology. 2011 Apr 1;117(4):805-11.$$https://journals.lww.com/greenjournal/fulltext/2011/04000/using_a_simplified_bishop_score_to_predict_vaginal.7.aspx££Newman RB, Goldenberg RL, Iams JD, Meis PJ, Mercer BM, Moawad AH, Thom E, Miodovnik M, Caritis SN, Dombrowski M$$Preterm prediction study: comparison of the cervical score and Bishop score for prediction of spontaneous preterm delivery. Obstetrics & Gynecology. 2008 Sep 1;112(3):508-15.$$https://journals.lww.com/greenjournal/fulltext/2008/09000/Genital_Herpes_Complicating_Pregnancy.3.aspx££Bishop EH$$Pelvic scoring for elective induction¬¨‚Ä†(Doctoral dissertation).$$https://books.google.com/books?hl=en&lr=&id=QBIeEAAAQBAJ&oi=fnd&pg=PA60&dq=PELVIC+SCORING+FOR+ELECTIVE+INDUCTION&ots=Bx0oAKr1uv&sig=gW0fv4LARIJGpU7xVxJdqNM0UOY","nil","points","Predicts likelihood of successful vaginal delivery","BISHOP SCORE","All,Gynae"
"numerical","Weight","kg","0","numerical","Height","cm","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","2","BMIinfo","Gadzik J.$$""How much should I weigh?""--Quetelet's equation, upper weight limits, and BMI prime. Connecticut medicine. 2006 Feb 1;70(2):81-8.$$https://europepmc.org/article/med/16768059","BMI","kg/m²","Calculates body mass index","BMI","All,Gastro,GP,MSK"
"button","Facial expression","Neutral / Positive facial expression: composed calm,Negative facial expression: concerned,Negative facial expression: grimace / distorted face","0,1,2","button","Verbalisation","Normal conversation: laugh / crow,Completely quiet / sobbing and/or complaining but not because of pain,Crying / screaming and/or complaining about pain","0,1,2","button","Body position","Inactive: laying / relaxed with all extremities or sitting / walking,Restless movements: shifting fashion and/or touching wound or wound area,Lying rigid and/or drawn up with arms and legs to the body","0,1,2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","3","BOPSinfo","Anand KJ, Craig KD$$New perspectives on the definition of pain. Pain-Journal of the International Association for the Study of Pain. 1996 Sep 1;67(1):3-6$$https://journals.lww.com/pain/citation/1996/09000/editorial.2.aspx££Hesselgard K, Larsson S, Romner B, Str‚àö‚àÇmblad LG, Reinstrup P$$Validity and reliability of the behavioural observational pain scale for postoperative pain measurement in children 1‚Äö√Ñ√¨7 years of age. Pediatric Critical Care Medicine. 2007 Mar 1;8(2):102-8$$https://journals.lww.com/pccmjournal/fulltext/2007/03000/Validity_and_reliability_of_the_Behavioural.3.aspx","nil","points","Behavioural Observational Pain Scale: Quantifies post-operative pain for children aged 1-7 years","BOPS POST-OP PAEDIATRIC PAIN","All,Paeds"
"button","Facial expression","Relaxed,Partially tightened (brow lowering),Fully tightened (eyelid closing),Grimacing","1,2,3,4","button","Upper limb movements","No movement,Partially bent,Fully bent with finger flexion,Permanently retracted","1,2,3,4","button","Compliance with mechanical ventilation","Tolerating movement,Coughing but tolerating ventilation for most of the time,Fighting ventilator,Unable to control ventilation","1,2,3,4","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","3","BPSinfo","Payen JF, Bru O, Bosson JL, Lagrasta A, Novel E, Deschaux I, Lavagne P, Jacquot C$$Assessing pain in critically ill sedated patients by using a behavioral pain scale. Critical care medicine. 2001 Dec 1;29(12):2258-63$$https://journals.lww.com/ccmjournal/fulltext/2001/12000/assessing_pain_in_critically_ill_sedated_patients.4.aspx££Ahlers SJ, van der Veen AM, van Dijk M, Tibboel D, Knibbe CA$$The use of the Behavioral Pain Scale to assess pain in conscious sedated patients. Anesthesia & analgesia. 2010 Jan 1;110(1):127-33$$https://journals.lww.com/anesthesia-analgesia/fulltext/2010/01000/The_Use_of_the_Behavioral_Pain_Scale_to_Assess.23.aspx","nil","points","Behavioural Pain Scale: Quantifies pain in intubated patients","BPS PAIN INTUBATED PATIENTS","All,CriticalCare"
"numerical","Weight","kg","0","numerical","Height","cm","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","2","BSAinfo","Gadzik J.$$""How much should I weigh?""--Quetelet's equation, upper weight limits, and BMI prime. Connecticut medicine. 2006 Feb 1;70(2):81-8.$$https://europepmc.org/article/med/16768059","BSA","m²","Calculates body surface area","BSA","All,CriticalCare"
"numerical","BUN","mmol/L","0","numerical","Creatinine","µmol/L","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","2","BUNinfo","Levin A, Stevens PE, Bilous RW, Coresh J, De Francisco AL, De Jong PE, Griffith KE, Hemmelgarn BR, Iseki K, Lamb EJ, Levey AS$$Kidney Disease: Improving Global Outcomes (KDIGO) CKD Work Group. KDIGO 2012 clinical practice guideline for the evaluation and management of chronic kidney disease. Kidney international supplements. 2013 Jan 1;3(1):1-50$$https://pure.johnshopkins.edu/en/publications/kidney-disease-improving-global-outcomes-kdigo-ckd-work-group-kdi-4££Khwaja A$$KDIGO clinical practice guidelines for acute kidney injury. Nephron Clinical Practice. 2012 Oct 1;120(4):c179-84$$https://karger.com/nec/article/120/4/c179/830716","$*2.8)/($$*0.0113)","ratio","Renal function measurement","BUN CREATININE RATIO","All,CriticalCare,Renal"
"button","Temperature","<37.2°C / <99°F,37.2-37.7°C / 99-99.9°F,37.8-38.2°C / 100-100.9°F,38.3-38.8°C / 101-101.9°F,38.9-39.2°C / 102-102.9°F,39.3-39.9°C / 103-103.9°F,≥40°C / ≥104°F","0,5,10,15,20,25,30","button","CNS effects","Absent,Mild (agitation),Moderate (delirium / psychosis),Severe (coma / seizures)","0,10,20,30","button","Gastrointestinal-hepatic dysfunction","Absent,Moderate (nausea + vomiting / abdominal pain / loose stools),Severe (unexplained jaundice)","0,10,20","button","Heart rate (bpm)","<90,90-109,110-119,120-129,130-139,≥140","0,5,10,15,20,25","button","Congestive Heart Failure","Absent,Mild (pedal oedema),Moderate (bibasilar creps),Severe (pulmonary oedema)","0,5,10,15","button","Atrial fibrillation","Yes,No","10,0","button","Precipitating event","Yes,No","10,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","7","BWPSinfo","Burch HB, Wartofsky L$$Life-threatening thyrotoxicosis: thyroid storm. Endocrinology and metabolism clinics of North America. 1993 Jun 1;22(2):263-77$$https://www.sciencedirect.com/science/article/pii/S0889852918301658££Nayak B, Burman K$$Thyrotoxicosis and thyroid storm. Endocrinology and Metabolism Clinics. 2006 Dec 1;35(4):663-86$$https://www.endo.theclinics.com/article/S0889-8529(06)00071-5/abstract££Kahaly GJ, Bartalena L, Heged‚àö¬∫s L$$The American Thyroid Association/American Association of Clinical Endocrinologists guidelines for hyperthyroidism and other causes of thyrotoxicosis: a European perspective. Thyroid. 2011 Jun 1;21(6):585-91$$https://www.liebertpub.com/doi/full/10.1089/thy.2011.2106.ed3££Garcia ML, Szuman G, Scoscia MF, Bacigaluppi S, Panebianco MV, Rella N$$The challenge of diagnosing thyroid storm: a comparison of the Japanese Thyroid Association Criteria to de Burch Wartofsky Point Scale. InEndocrine Abstracts 2017 May 3 (Vol. 49). Bioscientifica$$https://www.endocrine-abstracts.org/ea/0049/ea0049ep1251££Vennard H, Duvieusart Y, McNeilly J, Kernohan A$$Use of Burch-Wartofsky score when assessing the severity of hyperthyroidism, a retrospective study. InEndocrine Abstracts 2022 Oct 27 (Vol. 86). Bioscientifica$$https://www.endocrine-abstracts.org/ea/0086/ea0086p366","nil","points","BWPS: Predicts likelihood that biochemical thyrotoxicosis is thyroid storm","BURCH-WARTOFSKY SCALE","All,Endo"
"button","Absence of an RS complex in all precordial leads","Yes,No","1,0","button","R to S interval >100 ms in one precordial lead","Yes,No","1,0","button","Atrioventricular dissociation","Yes,No","1,0","button","Morphology criteria for VT present in both precordial leads V1-2 and V6","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4","BRUGADACRITERIAinfo","Brugada P, Brugada J, Mont L, Smeets JL, Andries EW$$A new approach to the differential diagnosis of a regular tachycardia with a wide QRS complex. Circulation. 1991 May;83(5):1649-59$$https://www.ahajournals.org/doi/abs/10.1161/01.CIR.83.5.1649££Isenhour JL, Craig S, Gibbs M, Littmann L, Rose G, Risch R$$Wide‚Äö√Ñ√™complex tachycardia: continued evaluation of diagnostic criteria. Academic Emergency Medicine. 2000 Jul;7(7):769-73$$https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1553-2712.2000.tb02267.x","Brugada","points","Distinguishes ventricular tachycardia from supraventricular tachycardia","BRUGADA CRITERIA","All,Cardio,Emergency"
"button","Have you ever felt you needed to 'cut down' on your drinking?","Yes,No","1,0","button","Have people annoyed you by criticising your drinking?","Yes,No","1,0","button","Have you ever felt guilty about drinking?","Yes,No","1,0","button","Have you ever felt you needed a drink first thing in the morning to steady your nerves or to get rid of a hangover?","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4","CAGEQUESTIONNAIREinfo","Ewing JA.$$Detecting alcoholism: the CAGE questionnaire. Jama. 1984 Oct 12;252(14):1905-7.$$https://jamanetwork.com/journals/jama/article-abstract/394693££Williams N.$$The CAGE questionnaire. Occupational Medicine. 2014 Sep 1;64(6):473-4.$$https://academic.oup.com/occmed/article-abstract/64/6/473/1432970££Bernadt MW, Taylor C, Mumford J, Smith B, Murray RM.$$Comparison of questionnaire and laboratory tests in the detection of excessive drinking and alcoholism. The Lancet. 1982 Feb 6;319(8267):325-8.$$https://www.sciencedirect.com/science/article/pii/S0140673682915793££Fiellin DA, Reid MC, O'Connor PG.$$Screening for alcohol problems in primary care: a systematic review. Archives of internal medicine. 2000 Jul 10;160(13):1977-89.$$https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/485393","nil","points","Screens for excessive drinking and alcoholism","CAGE QUESTIONNAIRE","All,Emergency,Gastro,GP,Psych"
"button","Inflammatory articular disease: Peripheral joint, spine, or entheseal","Yes,No","1,0","button","Current psoriasis, personal or family history of psoriasis","None,Current psoriasis: psoriatic skin or scalp disease present,Personal history of psoriasis,Family history of psoriasis: 1st or 2nd degree relative","0,2,1,1","button","Psoriatic nail dystrophy: Onycholysis, pitting or hyperkeratosis","Yes,No","1,0","button","Rheumatoid factor negative","Yes,No","1,0","button","Current or previous dactylitis: swelling of an entire digit","Yes,No","1,0","button","Juxtaarticular new bone formation on hand or foot x-ray","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","6","CASPARCRITERIAinfo","Taylor W, Gladman D, Helliwell P, Marchesoni A, Mease P, Mielants H$$Classification criteria for psoriatic arthritis: development of new criteria from a large international study. Arthritis & Rheumatism: Official Journal of the American College of Rheumatology. 2006 Aug;54(8):2665-73$$https://onlinelibrary.wiley.com/doi/abs/10.1002/art.21972££Helliwell PS, Taylor W$$Classification and diagnostic criteria for psoriatic arthritis. Annals of the rheumatic diseases. 2005 Mar 1;64(suppl 2):ii3-8$$https://ard.bmj.com/content/64/suppl_2/ii3.short££Coates LC, Conaghan PG, Emery P, Green MJ, Ibrahim G, MacIver H, Helliwell PS$$Sensitivity and specificity of the classification of psoriatic arthritis criteria in early psoriatic arthritis. Arthritis & Rheumatism. 2012 Oct;64(10):3150-5$$https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.34536","CASPAR","points","Criteria for psoriatic arthritis diagnosis","CASPAR CRITERIA","All,MSK"
