Drug Class,Drug Name
Tetracyclines and glycylcyclines,"Doxycycline, lymecycline (tetracyclines); tigecycline (glycylcycline)"
Thyroid hormones,"Levothyroxine, liothyronine"
Tranexamic acid,Tranexamic acid
Trimethoprim,"Trimethoprim, co-trimoxazole"
Uterotonics,"Oxytocin, ergometrine"
Vaccines and immunoglobulins,"Vaccines, normal immunoglobulin, tetanus immunoglobulin"
Valproate (valproic acid),"Sodium valproate, valproic acid"
Vitamins,"Folic acid, thiamine, hydroxocobalamin, phytomenadione"
Warfarin,Warfarin
Z-drugs,"Zopliclone, zolpidem"
Emergency drugs,Adenosine
Emergency drugs,Adrenaline (epinephrine)
Emergency drugs,"Alteplase, streptokinase"
Emergency drugs,Naloxone
Emergency drugs,Oxygen
Reversal agents,"Naloxone, flumazenil, idarucizumab, andexanet alfa, protamine, sugammadex, neostigmine, vitamin K, prothrombin complex concentrate, N-acetylcysteine, calcium gluconate, sodium bicarbonate, methylene blue, fomepizole, hydroxocobalamin, glucagon"
Intravenous fluid therapy,"Colloids (plasma substitutes) - gelatins, albumin"
Intravenous fluid therapy,Balanced crystalloid solutions - compound sodium lactate (hartmann�??s solution)
Intravenous fluid therapy,"Glucose (dextrose) - glucose 5%, 10%, 20% and 50%"
Intravenous fluid therapy,"Potassium, intravenous - potassium chloride (as an additive)"
Intravenous fluid therapy,"Sodium chloride - sodium chloride 0.9%, sodium chloride 0.45%"
